,AGG,SPY
,close,close
2019-11-01,112.94,306.18
2019-11-04,112.63,307.34
2019-11-05,112.25,307.0
2019-11-06,112.41,307.1699
2019-11-07,111.875,308.22
2019-11-08,111.82,308.96
2019-11-11,111.84,308.39
2019-11-12,111.94,308.94
2019-11-13,112.15,309.07
2019-11-14,112.48,309.53
2019-11-15,112.41,311.82
2019-11-18,112.595,312.0
2019-11-19,112.71,311.91
2019-11-20,112.97,310.79
2019-11-21,112.8131,310.29
2019-11-22,112.85,311.0
2019-11-25,112.98,313.35
2019-11-26,113.12,314.02
2019-11-27,112.995,315.46
2019-11-29,112.925,314.27
2019-12-02,112.48,311.6
2019-12-03,113.02,309.47
2019-12-04,112.8,311.47
2019-12-05,112.69,312.05
2019-12-06,112.54,314.84
2019-12-09,112.58,313.87
2019-12-10,112.54,313.55
2019-12-11,112.84,314.41
2019-12-12,112.36,317.14
2019-12-13,112.8,317.28
2019-12-16,112.58,319.51
2019-12-17,112.595,319.5495
2019-12-18,112.38,319.58
2019-12-19,112.29,320.91
2019-12-20,112.31,320.95
2019-12-23,112.23,321.22
2019-12-24,112.375,321.26
2019-12-26,112.48,322.91
2019-12-27,112.62,322.86
2019-12-30,112.63,321.1
2019-12-31,112.37,321.92
